model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,recency_weighted,4,30,0.2815430110468332,0.1876428943010257,0.45,1.1732214271583
elasticnet,recency_weighted,6,10,0.2560096809639984,0.2329014857068197,0.5166666666666666,1.1094820396324463
elasticnet,recency_weighted,6,20,0.2672620556210542,0.2118035334254767,0.4833333333333334,1.1234422323584288
elasticnet,recency_weighted,6,30,0.2672620556210542,0.2118035334254767,0.4833333333333334,1.1234422323584288
elasticnet,recency_weighted,8,10,0.23570327610706848,0.1805946842363046,0.5333333333333333,1.0736008725286408
elasticnet,recency_weighted,8,20,0.2506046348067284,0.15016052270402205,0.5,1.089579782950875
elasticnet,recency_weighted,8,30,0.2506046348067284,0.15016052270402205,0.5,1.089579782950875
elasticnet,recency_weighted,10,10,0.20299203990249587,0.22758263962051437,0.5,1.0322623537899136
elasticnet,recency_weighted,10,20,0.23259319996771702,0.18388907261095425,0.5166666666666667,1.0392257493273795
elasticnet,recency_weighted,10,30,0.23259319996771702,0.18388907261095425,0.5166666666666667,1.0392257493273795
elasticnet,recency_weighted,12,10,0.1923491562161339,0.23472536129446042,0.5,1.0279647625452373
elasticnet,recency_weighted,12,20,0.2229313642189248,0.18841081884968178,0.5166666666666667,1.0345532771504673
elasticnet,recency_weighted,12,30,0.2229313642189248,0.18841081884968178,0.5166666666666667,1.0345532771504673
elasticnet,val_weighted,1,10,0.3629783234555578,0.19776055751305674,0.4333333333333334,1.26660207145576
elasticnet,val_weighted,1,20,0.3408663120641263,0.19614695571121973,0.45,1.2659628441129631
elasticnet,val_weighted,1,30,0.3408663120641263,0.19614695571121973,0.45,1.2659628441129631
elasticnet,val_weighted,4,10,0.27127944036539003,0.19358461853232067,0.4333333333333334,1.172009486551051
elasticnet,val_weighted,4,20,0.2815430110468332,0.1876428943010257,0.45,1.1732214271583
elasticnet,val_weighted,4,30,0.2815430110468332,0.1876428943010257,0.45,1.1732214271583
elasticnet,val_weighted,6,10,0.2560096809639984,0.2329014857068197,0.5166666666666666,1.1094820396324463
elasticnet,val_weighted,6,20,0.2672620556210542,0.2118035334254767,0.4833333333333334,1.1234422323584288
elasticnet,val_weighted,6,30,0.2672620556210542,0.2118035334254767,0.4833333333333334,1.1234422323584288
elasticnet,val_weighted,8,10,0.23570327610706848,0.1805946842363046,0.5333333333333333,1.0736008725286408
elasticnet,val_weighted,8,20,0.2506046348067284,0.15016052270402205,0.5,1.089579782950875
elasticnet,val_weighted,8,30,0.2506046348067284,0.15016052270402205,0.5,1.089579782950875
elasticnet,val_weighted,10,10,0.20299203990249587,0.22758263962051437,0.5,1.0322623537899136
